"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
10516,"$75,000 under $100,000",280
10516,"$100,000 under $200,000",700
10516,"$200,000 or more",440
10518,Total,740
10518,"$1 under $25,000",180
10518,"$25,000 under $50,000",90
10518,"$50,000 under $75,000",60
10518,"$75,000 under $100,000",60
10518,"$100,000 under $200,000",150
10518,"$200,000 or more",200
10520,Total,"6,390"
10520,"$1 under $25,000","1,390"
10520,"$25,000 under $50,000",890
10520,"$50,000 under $75,000",800
10520,"$75,000 under $100,000",580
10520,"$100,000 under $200,000","1,400"
10520,"$200,000 or more","1,330"
10522,Total,"5,420"
10522,"$1 under $25,000","1,100"
10522,"$25,000 under $50,000",690
10522,"$50,000 under $75,000",680
10522,"$75,000 under $100,000",510
10522,"$100,000 under $200,000","1,200"
10522,"$200,000 or more","1,240"
10523,Total,"4,970"
10523,"$1 under $25,000","1,300"
10523,"$25,000 under $50,000","1,080"
10523,"$50,000 under $75,000",750
10523,"$75,000 under $100,000",560
10523,"$100,000 under $200,000",960
10523,"$200,000 or more",320
10524,Total,"2,110"
10524,"$1 under $25,000",470
10524,"$25,000 under $50,000",290
10524,"$50,000 under $75,000",230
10524,"$75,000 under $100,000",200
10524,"$100,000 under $200,000",530
10524,"$200,000 or more",390
10526,Total,970
10526,"$1 under $25,000",210
10526,"$25,000 under $50,000",130
10526,"$50,000 under $75,000",110
10526,"$75,000 under $100,000",80
10526,"$100,000 under $200,000",210
10526,"$200,000 or more",230
10527,Total,430
10527,"$1 under $25,000",90
10527,"$25,000 under $50,000",50
10527,"$50,000 under $75,000",40
10527,"$75,000 under $100,000",30
10527,"$100,000 under $200,000",90
10527,"$200,000 or more",130
10528,Total,"5,990"
10528,"$1 under $25,000","1,370"
10528,"$25,000 under $50,000",910
10528,"$50,000 under $75,000",730
10528,"$75,000 under $100,000",600
10528,"$100,000 under $200,000","1,080"
10528,"$200,000 or more","1,300"
10530,Total,"7,230"
10530,"$1 under $25,000","1,280"
10530,"$25,000 under $50,000",940
10530,"$50,000 under $75,000","1,030"
10530,"$75,000 under $100,000",880
10530,"$100,000 under $200,000","1,850"
10530,"$200,000 or more","1,250"
10532,Total,"2,540"
10532,"$1 under $25,000",540
10532,"$25,000 under $50,000",340
10532,"$50,000 under $75,000",340
10532,"$75,000 under $100,000",270
10532,"$100,000 under $200,000",640
10532,"$200,000 or more",410
10533,Total,"3,720"
10533,"$1 under $25,000",680
10533,"$25,000 under $50,000",380
10533,"$50,000 under $75,000",350
10533,"$75,000 under $100,000",310
10533,"$100,000 under $200,000",770
10533,"$200,000 or more","1,230"
10535,Total,390
10535,"$1 under $25,000",100
10535,"$25,000 under $50,000",90
10535,"$50,000 under $75,000",60
10535,"$75,000 under $100,000",50
10535,"$100,000 under $200,000",60
10535,"$200,000 or more",30
10536,Total,"5,170"
10536,"$1 under $25,000","1,120"
10536,"$25,000 under $50,000",520
10536,"$50,000 under $75,000",480
10536,"$75,000 under $100,000",350
10536,"$100,000 under $200,000",990
10536,"$200,000 or more","1,710"
10537,Total,"1,240"
10537,"$1 under $25,000",320
10537,"$25,000 under $50,000",270
10537,"$50,000 under $75,000",200
10537,"$75,000 under $100,000",130
10537,"$100,000 under $200,000",280
10537,"$200,000 or more",40
10538,Total,"8,170"
10538,"$1 under $25,000","1,570"
10538,"$25,000 under $50,000",710
10538,"$50,000 under $75,000",740
10538,"$75,000 under $100,000",570
10538,"$100,000 under $200,000","1,240"
10538,"$200,000 or more","3,340"
10541,Total,"13,040"
10541,"$1 under $25,000","3,240"
10541,"$25,000 under $50,000","2,070"
10541,"$50,000 under $75,000","1,710"
10541,"$75,000 under $100,000","1,390"
10541,"$100,000 under $200,000","3,240"
10541,"$200,000 or more","1,390"
10543,Total,"9,940"
10543,"$1 under $25,000","2,540"
10543,"$25,000 under $50,000","1,540"
10543,"$50,000 under $75,000","1,190"
10543,"$75,000 under $100,000",870
10543,"$100,000 under $200,000","1,850"
10543,"$200,000 or more","1,950"
10546,Total,700
10546,"$1 under $25,000",140
10546,"$25,000 under $50,000",60
10546,"$50,000 under $75,000",70
10546,"$75,000 under $100,000",60
10546,"$100,000 under $200,000",150
10546,"$200,000 or more",220
10547,Total,"3,700"
10547,"$1 under $25,000",920
10547,"$25,000 under $50,000",620
10547,"$50,000 under $75,000",540
10547,"$75,000 under $100,000",390
10547,"$100,000 under $200,000",860
10547,"$200,000 or more",370
10548,Total,"1,680"
10548,"$1 under $25,000",400
10548,"$25,000 under $50,000",270
10548,"$50,000 under $75,000",260
10548,"$75,000 under $100,000",180
10548,"$100,000 under $200,000",420
10548,"$200,000 or more",150
