"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
10549,Total,"8,230"
10549,"$1 under $25,000","2,360"
10549,"$25,000 under $50,000","1,340"
10549,"$50,000 under $75,000",900
10549,"$75,000 under $100,000",650
10549,"$100,000 under $200,000","1,340"
10549,"$200,000 or more","1,640"
10550,Total,"20,010"
10550,"$1 under $25,000","7,460"
10550,"$25,000 under $50,000","6,310"
10550,"$50,000 under $75,000","3,220"
10550,"$75,000 under $100,000","1,470"
10550,"$100,000 under $200,000","1,420"
10550,"$200,000 or more",130
10552,Total,"11,190"
10552,"$1 under $25,000","2,660"
10552,"$25,000 under $50,000","2,370"
10552,"$50,000 under $75,000","2,000"
10552,"$75,000 under $100,000","1,350"
10552,"$100,000 under $200,000","2,040"
10552,"$200,000 or more",770
10553,Total,"6,110"
10553,"$1 under $25,000","1,900"
10553,"$25,000 under $50,000","1,760"
10553,"$50,000 under $75,000","1,020"
10553,"$75,000 under $100,000",580
10553,"$100,000 under $200,000",750
10553,"$200,000 or more",100
10560,Total,"2,170"
10560,"$1 under $25,000",500
10560,"$25,000 under $50,000",300
10560,"$50,000 under $75,000",230
10560,"$75,000 under $100,000",180
10560,"$100,000 under $200,000",470
10560,"$200,000 or more",490
10562,Total,"16,020"
10562,"$1 under $25,000","4,340"
10562,"$25,000 under $50,000","3,290"
10562,"$50,000 under $75,000","2,270"
10562,"$75,000 under $100,000","1,590"
10562,"$100,000 under $200,000","3,000"
10562,"$200,000 or more","1,530"
10566,Total,"12,670"
10566,"$1 under $25,000","4,020"
10566,"$25,000 under $50,000","3,180"
10566,"$50,000 under $75,000","1,960"
10566,"$75,000 under $100,000","1,210"
10566,"$100,000 under $200,000","1,820"
10566,"$200,000 or more",480
10567,Total,"10,010"
10567,"$1 under $25,000","2,290"
10567,"$25,000 under $50,000","1,450"
10567,"$50,000 under $75,000","1,180"
10567,"$75,000 under $100,000",960
10567,"$100,000 under $200,000","2,510"
10567,"$200,000 or more","1,620"
10570,Total,"6,060"
10570,"$1 under $25,000","1,340"
10570,"$25,000 under $50,000",650
10570,"$50,000 under $75,000",630
10570,"$75,000 under $100,000",490
10570,"$100,000 under $200,000","1,190"
10570,"$200,000 or more","1,760"
10573,Total,"18,890"
10573,"$1 under $25,000","6,050"
10573,"$25,000 under $50,000","4,210"
10573,"$50,000 under $75,000","2,490"
10573,"$75,000 under $100,000","1,480"
10573,"$100,000 under $200,000","2,530"
10573,"$200,000 or more","2,130"
10576,Total,"2,510"
10576,"$1 under $25,000",510
10576,"$25,000 under $50,000",250
10576,"$50,000 under $75,000",190
10576,"$75,000 under $100,000",170
10576,"$100,000 under $200,000",490
10576,"$200,000 or more",900
10577,Total,"1,530"
10577,"$1 under $25,000",350
10577,"$25,000 under $50,000",140
10577,"$50,000 under $75,000",140
10577,"$75,000 under $100,000",100
10577,"$100,000 under $200,000",200
10577,"$200,000 or more",600
10578,Total,440
10578,"$1 under $25,000",120
10578,"$25,000 under $50,000",70
10578,"$50,000 under $75,000",50
10578,"$75,000 under $100,000",30
10578,"$100,000 under $200,000",120
10578,"$200,000 or more",50
10579,Total,"4,470"
10579,"$1 under $25,000",990
10579,"$25,000 under $50,000",670
10579,"$50,000 under $75,000",590
10579,"$75,000 under $100,000",480
10579,"$100,000 under $200,000","1,140"
10579,"$200,000 or more",600
10580,Total,"8,250"
10580,"$1 under $25,000","1,810"
10580,"$25,000 under $50,000",720
10580,"$50,000 under $75,000",640
10580,"$75,000 under $100,000",510
10580,"$100,000 under $200,000","1,180"
10580,"$200,000 or more","3,390"
10583,Total,"18,780"
10583,"$1 under $25,000","3,620"
10583,"$25,000 under $50,000","1,630"
10583,"$50,000 under $75,000","1,530"
10583,"$75,000 under $100,000","1,280"
10583,"$100,000 under $200,000","3,250"
10583,"$200,000 or more","7,470"
10588,Total,"1,350"
10588,"$1 under $25,000",340
10588,"$25,000 under $50,000",180
10588,"$50,000 under $75,000",180
10588,"$75,000 under $100,000",140
10588,"$100,000 under $200,000",370
10588,"$200,000 or more",140
10589,Total,"4,620"
10589,"$1 under $25,000",800
10589,"$25,000 under $50,000",540
10589,"$50,000 under $75,000",570
10589,"$75,000 under $100,000",550
10589,"$100,000 under $200,000","1,340"
10589,"$200,000 or more",820
10590,Total,"3,240"
10590,"$1 under $25,000",690
10590,"$25,000 under $50,000",330
10590,"$50,000 under $75,000",340
10590,"$75,000 under $100,000",260
10590,"$100,000 under $200,000",760
10590,"$200,000 or more",860
10591,Total,"11,930"
10591,"$1 under $25,000","3,070"
10591,"$25,000 under $50,000","2,450"
10591,"$50,000 under $75,000","1,560"
10591,"$75,000 under $100,000","1,000"
10591,"$100,000 under $200,000","2,000"
10591,"$200,000 or more","1,850"
10594,Total,"2,580"
10594,"$1 under $25,000",550
10594,"$25,000 under $50,000",350
10594,"$50,000 under $75,000",350
10594,"$75,000 under $100,000",230
10594,"$100,000 under $200,000",610
10594,"$200,000 or more",490
10595,Total,"3,290"
10595,"$1 under $25,000",680
10595,"$25,000 under $50,000",390
10595,"$50,000 under $75,000",430
10595,"$75,000 under $100,000",290
10595,"$100,000 under $200,000",810
10595,"$200,000 or more",690
10597,Total,480
10597,"$1 under $25,000",100
10597,"$25,000 under $50,000",40
10597,"$50,000 under $75,000",30
10597,"$75,000 under $100,000",20
10597,"$100,000 under $200,000",80
10597,"$200,000 or more",210
10598,Total,"14,800"
10598,"$1 under $25,000","3,320"
10598,"$25,000 under $50,000","1,920"
10598,"$50,000 under $75,000","1,710"
10598,"$75,000 under $100,000","1,390"
10598,"$100,000 under $200,000","3,970"
10598,"$200,000 or more","2,490"
10601,Total,"6,090"
10601,"$1 under $25,000","1,570"
10601,"$25,000 under $50,000","1,210"
10601,"$50,000 under $75,000",860
10601,"$75,000 under $100,000",610
10601,"$100,000 under $200,000","1,040"
10601,"$200,000 or more",800
10603,Total,"9,850"
10603,"$1 under $25,000","2,460"
10603,"$25,000 under $50,000","1,910"
10603,"$50,000 under $75,000","1,530"
10603,"$75,000 under $100,000","1,130"
10603,"$100,000 under $200,000","1,940"
10603,"$200,000 or more",880
10604,Total,"5,690"
10604,"$1 under $25,000","1,560"
10604,"$25,000 under $50,000","1,020"
10604,"$50,000 under $75,000",810
10604,"$75,000 under $100,000",550
10604,"$100,000 under $200,000",980
10604,"$200,000 or more",770
10605,Total,"10,210"
10605,"$1 under $25,000","2,180"
10605,"$25,000 under $50,000","1,370"
10605,"$50,000 under $75,000","1,220"
10605,"$75,000 under $100,000",920
10605,"$100,000 under $200,000","2,210"
10605,"$200,000 or more","2,310"
10606,Total,"8,480"
10606,"$1 under $25,000","2,670"
10606,"$25,000 under $50,000","1,920"
10606,"$50,000 under $75,000","1,180"
10606,"$75,000 under $100,000",680
10606,"$100,000 under $200,000","1,210"
10606,"$200,000 or more",820
10607,Total,"4,070"
10607,"$1 under $25,000",960
10607,"$25,000 under $50,000",750
10607,"$50,000 under $75,000",530
10607,"$75,000 under $100,000",420
10607,"$100,000 under $200,000",870
10607,"$200,000 or more",540
10701,Total,"30,370"
10701,"$1 under $25,000","11,160"
10701,"$25,000 under $50,000","8,040"
10701,"$50,000 under $75,000","4,590"
10701,"$75,000 under $100,000","2,500"
10701,"$100,000 under $200,000","3,300"
10701,"$200,000 or more",780
10703,Total,"11,000"
10703,"$1 under $25,000","3,550"
10703,"$25,000 under $50,000","2,720"
10703,"$50,000 under $75,000","1,740"
10703,"$75,000 under $100,000","1,090"
10703,"$100,000 under $200,000","1,600"
10703,"$200,000 or more",300
10704,Total,"17,380"
10704,"$1 under $25,000","4,480"
10704,"$25,000 under $50,000","3,800"
10704,"$50,000 under $75,000","3,170"
10704,"$75,000 under $100,000","2,070"
10704,"$100,000 under $200,000","3,170"
10704,"$200,000 or more",690
10705,Total,"19,100"
10705,"$1 under $25,000","7,250"
10705,"$25,000 under $50,000","5,350"
10705,"$50,000 under $75,000","2,740"
10705,"$75,000 under $100,000","1,450"
10705,"$100,000 under $200,000","1,780"
10705,"$200,000 or more",530
10706,Total,"4,500"
10706,"$1 under $25,000",860
10706,"$25,000 under $50,000",470
10706,"$50,000 under $75,000",480
10706,"$75,000 under $100,000",430
10706,"$100,000 under $200,000",980
10706,"$200,000 or more","1,280"
10707,Total,"5,300"
10707,"$1 under $25,000","1,130"
10707,"$25,000 under $50,000",730
10707,"$50,000 under $75,000",650
10707,"$75,000 under $100,000",540
10707,"$100,000 under $200,000","1,240"
10707,"$200,000 or more","1,010"
10708,Total,"11,470"
10708,"$1 under $25,000","2,130"
10708,"$25,000 under $50,000","1,260"
10708,"$50,000 under $75,000","1,500"
10708,"$75,000 under $100,000","1,230"
10708,"$100,000 under $200,000","2,570"
10708,"$200,000 or more","2,780"
10709,Total,"5,030"
10709,"$1 under $25,000","1,140"
10709,"$25,000 under $50,000",590
10709,"$50,000 under $75,000",650
10709,"$75,000 under $100,000",500
10709,"$100,000 under $200,000","1,120"
10709,"$200,000 or more","1,030"
10710,Total,"14,130"
10710,"$1 under $25,000","3,270"
10710,"$25,000 under $50,000","2,590"
10710,"$50,000 under $75,000","2,320"
10710,"$75,000 under $100,000","1,740"
10710,"$100,000 under $200,000","3,160"
10710,"$200,000 or more","1,050"
10801,Total,"19,240"
10801,"$1 under $25,000","6,300"
10801,"$25,000 under $50,000","4,380"
10801,"$50,000 under $75,000","2,780"
10801,"$75,000 under $100,000","1,750"
10801,"$100,000 under $200,000","2,870"
10801,"$200,000 or more","1,160"
10803,Total,"6,070"
10803,"$1 under $25,000","1,330"
10803,"$25,000 under $50,000",660
10803,"$50,000 under $75,000",570
10803,"$75,000 under $100,000",460
10803,"$100,000 under $200,000","1,110"
10803,"$200,000 or more","1,940"
10804,Total,"7,180"
10804,"$1 under $25,000","1,410"
10804,"$25,000 under $50,000",620
10804,"$50,000 under $75,000",600
10804,"$75,000 under $100,000",490
10804,"$100,000 under $200,000","1,490"
10804,"$200,000 or more","2,570"
10805,Total,"9,290"
10805,"$1 under $25,000","2,500"
10805,"$25,000 under $50,000","2,010"
10805,"$50,000 under $75,000","1,630"
10805,"$75,000 under $100,000","1,080"
10805,"$100,000 under $200,000","1,580"
10805,"$200,000 or more",490
10901,Total,"11,420"
10901,"$1 under $25,000","2,950"
10901,"$25,000 under $50,000","1,920"
10901,"$50,000 under $75,000","1,540"
10901,"$75,000 under $100,000","1,180"
10901,"$100,000 under $200,000","2,390"
10901,"$200,000 or more","1,440"
10913,Total,"2,560"
10913,"$1 under $25,000",590
10913,"$25,000 under $50,000",310
10913,"$50,000 under $75,000",310
10913,"$75,000 under $100,000",240
10913,"$100,000 under $200,000",610
10913,"$200,000 or more",500
10916,Total,"2,240"
10916,"$1 under $25,000",540
10916,"$25,000 under $50,000",340
10916,"$50,000 under $75,000",260
10916,"$75,000 under $100,000",240
10916,"$100,000 under $200,000",600
10916,"$200,000 or more",260
10917,Total,"1,060"
10917,"$1 under $25,000",310
10917,"$25,000 under $50,000",200
10917,"$50,000 under $75,000",140
10917,"$75,000 under $100,000",90
10917,"$100,000 under $200,000",210
10917,"$200,000 or more",110
10918,Total,"5,820"
10918,"$1 under $25,000","1,530"
10918,"$25,000 under $50,000",980
10918,"$50,000 under $75,000",810
10918,"$75,000 under $100,000",620
10918,"$100,000 under $200,000","1,410"
10918,"$200,000 or more",470
10919,Total,600
10919,"$1 under $25,000",170
10919,"$25,000 under $50,000",130
10919,"$50,000 under $75,000",80
10919,"$75,000 under $100,000",60
10919,"$100,000 under $200,000",130
10919,"$200,000 or more",30
10920,Total,"4,590"
10920,"$1 under $25,000","1,120"
10920,"$25,000 under $50,000",750
10920,"$50,000 under $75,000",600
10920,"$75,000 under $100,000",480
10920,"$100,000 under $200,000","1,110"
10920,"$200,000 or more",530
10921,Total,"2,300"
10921,"$1 under $25,000",600
10921,"$25,000 under $50,000",450
10921,"$50,000 under $75,000",320
10921,"$75,000 under $100,000",260
10921,"$100,000 under $200,000",500
10921,"$200,000 or more",170
10923,Total,"4,950"
10923,"$1 under $25,000","1,390"
10923,"$25,000 under $50,000","1,150"
10923,"$50,000 under $75,000",820
10923,"$75,000 under $100,000",510
10923,"$100,000 under $200,000",850
10923,"$200,000 or more",230
10924,Total,"6,490"
10924,"$1 under $25,000","1,640"
10924,"$25,000 under $50,000","1,130"
10924,"$50,000 under $75,000",850
10924,"$75,000 under $100,000",670
10924,"$100,000 under $200,000","1,480"
10924,"$200,000 or more",720
10925,Total,"2,440"
10925,"$1 under $25,000",630
10925,"$25,000 under $50,000",450
10925,"$50,000 under $75,000",390
10925,"$75,000 under $100,000",290
10925,"$100,000 under $200,000",550
10925,"$200,000 or more",130
10926,Total,"1,920"
10926,"$1 under $25,000",480
10926,"$25,000 under $50,000",430
10926,"$50,000 under $75,000",350
10926,"$75,000 under $100,000",200
10926,"$100,000 under $200,000",360
10926,"$200,000 or more",100
10927,Total,"6,300"
10927,"$1 under $25,000","2,700"
10927,"$25,000 under $50,000","1,860"
10927,"$50,000 under $75,000",760
10927,"$75,000 under $100,000",370
10927,"$100,000 under $200,000",490
10927,"$200,000 or more",120
10928,Total,"2,310"
10928,"$1 under $25,000",670
10928,"$25,000 under $50,000",630
10928,"$50,000 under $75,000",390
10928,"$75,000 under $100,000",230
10928,"$100,000 under $200,000",330
10928,"$200,000 or more",60
10930,Total,"4,420"
10930,"$1 under $25,000","1,180"
10930,"$25,000 under $50,000",710
10930,"$50,000 under $75,000",560
10930,"$75,000 under $100,000",460
10930,"$100,000 under $200,000","1,060"
10930,"$200,000 or more",450
10940,Total,"25,620"
10940,"$1 under $25,000","8,230"
10940,"$25,000 under $50,000","6,660"
10940,"$50,000 under $75,000","3,960"
10940,"$75,000 under $100,000","2,550"
10940,"$100,000 under $200,000","3,600"
10940,"$200,000 or more",620
10941,Total,"7,440"
10941,"$1 under $25,000","2,190"
10941,"$25,000 under $50,000","1,750"
10941,"$50,000 under $75,000","1,190"
10941,"$75,000 under $100,000",790
10941,"$100,000 under $200,000","1,250"
10941,"$200,000 or more",270
10950,Total,"18,420"
10950,"$1 under $25,000","6,330"
10950,"$25,000 under $50,000","3,680"
10950,"$50,000 under $75,000","2,190"
10950,"$75,000 under $100,000","1,630"
10950,"$100,000 under $200,000","3,290"
10950,"$200,000 or more","1,300"
10952,Total,"12,980"
10952,"$1 under $25,000","5,230"
10952,"$25,000 under $50,000","2,870"
10952,"$50,000 under $75,000","1,350"
10952,"$75,000 under $100,000",830
10952,"$100,000 under $200,000","1,540"
10952,"$200,000 or more","1,160"
10954,Total,"12,440"
10954,"$1 under $25,000","3,240"
10954,"$25,000 under $50,000","2,190"
10954,"$50,000 under $75,000","1,720"
10954,"$75,000 under $100,000","1,300"
10954,"$100,000 under $200,000","2,850"
10954,"$200,000 or more","1,140"
10956,Total,"16,030"
10956,"$1 under $25,000","3,820"
10956,"$25,000 under $50,000","2,100"
10956,"$50,000 under $75,000","1,780"
10956,"$75,000 under $100,000","1,430"
10956,"$100,000 under $200,000","3,940"
10956,"$200,000 or more","2,960"
10958,Total,"1,640"
10958,"$1 under $25,000",470
10958,"$25,000 under $50,000",280
10958,"$50,000 under $75,000",240
10958,"$75,000 under $100,000",180
10958,"$100,000 under $200,000",350
10958,"$200,000 or more",120
10960,Total,"7,670"
10960,"$1 under $25,000","1,950"
10960,"$25,000 under $50,000","1,470"
10960,"$50,000 under $75,000","1,050"
10960,"$75,000 under $100,000",760
10960,"$100,000 under $200,000","1,460"
10960,"$200,000 or more",980
10962,Total,"2,680"
10962,"$1 under $25,000",640
10962,"$25,000 under $50,000",400
10962,"$50,000 under $75,000",320
10962,"$75,000 under $100,000",250
10962,"$100,000 under $200,000",630
10962,"$200,000 or more",440
10963,Total,"1,290"
10963,"$1 under $25,000",360
10963,"$25,000 under $50,000",270
10963,"$50,000 under $75,000",180
10963,"$75,000 under $100,000",150
10963,"$100,000 under $200,000",280
10963,"$200,000 or more",50
10964,Total,740
10964,"$1 under $25,000",140
10964,"$25,000 under $50,000",110
10964,"$50,000 under $75,000",90
10964,"$75,000 under $100,000",60
10964,"$100,000 under $200,000",160
10964,"$200,000 or more",180
10965,Total,"7,930"
10965,"$1 under $25,000","1,750"
10965,"$25,000 under $50,000","1,140"
10965,"$50,000 under $75,000","1,030"
10965,"$75,000 under $100,000",850
10965,"$100,000 under $200,000","2,060"
10965,"$200,000 or more","1,100"
10968,Total,"1,220"
10968,"$1 under $25,000",210
10968,"$25,000 under $50,000",180
10968,"$50,000 under $75,000",140
10968,"$75,000 under $100,000",140
10968,"$100,000 under $200,000",310
10968,"$200,000 or more",240
10969,Total,640
10969,"$1 under $25,000",180
10969,"$25,000 under $50,000",120
10969,"$50,000 under $75,000",80
10969,"$75,000 under $100,000",80
10969,"$100,000 under $200,000",130
10969,"$200,000 or more",50
10970,Total,"5,430"
10970,"$1 under $25,000","1,440"
10970,"$25,000 under $50,000","1,160"
10970,"$50,000 under $75,000",810
10970,"$75,000 under $100,000",580
10970,"$100,000 under $200,000","1,030"
10970,"$200,000 or more",410
10973,Total,"1,160"
10973,"$1 under $25,000",290
10973,"$25,000 under $50,000",200
10973,"$50,000 under $75,000",170
10973,"$75,000 under $100,000",130
10973,"$100,000 under $200,000",280
10973,"$200,000 or more",90
10974,Total,"1,760"
10974,"$1 under $25,000",480
10974,"$25,000 under $50,000",310
10974,"$50,000 under $75,000",260
10974,"$75,000 under $100,000",160
10974,"$100,000 under $200,000",410
10974,"$200,000 or more",140
10975,Total,160
10975,"$1 under $25,000",40
10975,"$25,000 under $50,000",40
10975,"$50,000 under $75,000",30
10975,"$75,000 under $100,000",20
10975,"$100,000 under $200,000",30
10975,"$200,000 or more",**
10976,Total,840
10976,"$1 under $25,000",300
10976,"$25,000 under $50,000",130
10976,"$50,000 under $75,000",130
10976,"$75,000 under $100,000",70
10976,"$100,000 under $200,000",140
10976,"$200,000 or more",70
10977,Total,"24,270"
10977,"$1 under $25,000","9,870"
10977,"$25,000 under $50,000","6,590"
10977,"$50,000 under $75,000","2,950"
10977,"$75,000 under $100,000","1,580"
10977,"$100,000 under $200,000","2,390"
10977,"$200,000 or more",890
10980,Total,"7,130"
10980,"$1 under $25,000","1,810"
10980,"$25,000 under $50,000","1,310"
10980,"$50,000 under $75,000",990
10980,"$75,000 under $100,000",750
10980,"$100,000 under $200,000","1,590"
10980,"$200,000 or more",680
10983,Total,"3,010"
10983,"$1 under $25,000",670
10983,"$25,000 under $50,000",350
10983,"$50,000 under $75,000",380
10983,"$75,000 under $100,000",300
10983,"$100,000 under $200,000",820
10983,"$200,000 or more",490
10984,Total,"1,360"
10984,"$1 under $25,000",330
